company|purchaseorderreceiptimport|rungroup|purchaseorder|billoflading|receiptcomments
3020|30200000349|SANR|30200000349|RCT00000039|M4NS Receipt Integration: 2025-08-13 14:32:06
3020|30200000350|SANU|30200000350|RCT00000039|M4NS Receipt Integration: 2025-08-13 14:32:06
